,Date,Open,High,Low,Close,Date,Open,High,Low,Close,Date,Open,High,Low,Close
0,2018-03-27,173.68,175.15,166.92,168.34,2018-03-27,1572.4,1575.96,1482.32,1497.05,2018-03-27,304.0,304.27,277.18,279.18
1,2018-03-26,168.07,173.1,166.44,172.77,2018-03-26,1530.0,1556.99,1499.25,1555.86,2018-03-26,307.34,307.59,291.36,304.18
2,2018-03-23,168.39,169.92,164.94,164.94,2018-03-23,1539.01,1549.02,1495.36,1495.56,2018-03-23,311.25,311.61,300.45,301.54
3,2018-03-22,170.0,172.68,168.6,168.845,2018-03-22,1565.47,1573.85,1542.4,1544.1,2018-03-22,313.89,318.82,308.18,309.1
4,2018-03-21,175.04,175.09,171.26,171.27,2018-03-21,1586.45,1590.0,1563.17,1581.86,2018-03-21,310.25,322.44,310.19,316.53
5,2018-03-20,175.24,176.8,174.94,175.24,2018-03-20,1550.34,1587.0,1545.41,1586.51,2018-03-20,314.87,316.25,308.76,310.55
6,2018-03-19,177.32,177.47,173.66,175.3,2018-03-19,1554.53,1561.66,1525.35,1544.93,2018-03-19,316.5,320.75,309.67,313.56
7,2018-03-16,178.65,179.12,177.62,178.02,2018-03-16,1583.45,1589.44,1567.5,1571.68,2018-03-16,325.96,327.4,319.07,321.35
8,2018-03-15,178.5,180.24,178.0701,178.65,2018-03-15,1595.0,1596.91,1578.11,1582.32,2018-03-15,329.38,332.85,321.1,325.6
9,2018-03-14,180.32,180.52,177.81,178.44,2018-03-14,1597.0,1606.44,1590.89,1591.0,2018-03-14,336.76,339.81,323.93,326.63
10,2018-03-13,182.59,183.5,179.24,179.97,2018-03-13,1615.96,1617.54,1578.01,1588.18,2018-03-13,344.92,345.12,336.2635,341.84
11,2018-03-12,180.29,182.39,180.21,181.72,2018-03-12,1592.6,1605.33,1586.7,1598.39,2018-03-12,328.61,347.21,326.5,345.51
12,2018-03-09,177.96,180.0,177.39,179.98,2018-03-09,1563.5,1578.94,1559.08,1578.89,2018-03-09,324.1,328.49,322.37,327.17
13,2018-03-08,175.48,177.12,175.07,176.94,2018-03-08,1550.0,1554.88,1545.25,1551.86,2018-03-08,332.86,333.3,326.274,329.1
14,2018-03-07,174.94,175.85,174.27,175.03,2018-03-07,1526.52,1545.9,1522.51,1545.0,2018-03-07,325.44,332.5,321.74,332.3
15,2018-03-06,177.91,178.25,176.13,176.67,2018-03-06,1533.2,1542.13,1528.0,1537.64,2018-03-06,333.75,336.37,327.03,328.2
16,2018-03-05,175.21,177.74,174.52,176.82,2018-03-05,1494.24,1525.38,1481.0,1523.61,2018-03-05,332.39,337.75,329.2929,333.35
17,2018-03-02,172.8,176.3,172.45,176.21,2018-03-02,1469.1,1501.05,1455.01,1500.25,2018-03-02,326.98,335.22,322.97,335.12
18,2018-03-01,178.54,179.775,172.66,175.0,2018-03-01,1513.6,1518.49,1465.0,1493.45,2018-03-01,345.01,348.67,330.07,330.93
19,2018-02-28,179.26,180.615,178.05,178.12,2018-02-28,1519.51,1528.7,1512.0,1512.45,2018-02-28,352.57,355.24,342.22,343.06
20,2018-02-27,179.1,180.48,178.16,178.39,2018-02-27,1524.5,1526.78,1507.21,1511.98,2018-02-27,356.25,359.99,350.01,350.99
21,2018-02-26,176.35,179.39,176.21,178.97,2018-02-26,1509.2,1522.84,1507.0,1521.95,2018-02-26,353.5,359.0,352.355,357.42
22,2018-02-23,173.67,175.65,173.54,175.555,2018-02-23,1495.34,1500.0,1486.5,1500.0,2018-02-23,347.83,354.99,347.1,352.05
23,2018-02-22,171.8,173.95,171.71,172.6,2018-02-22,1495.36,1502.54,1475.76,1484.76,2018-02-22,335.53,347.44,334.7501,346.17
24,2018-02-21,172.83,174.12,171.01,171.07,2018-02-21,1485.0,1503.49,1478.92,1482.92,2018-02-21,336.03,339.6929,333.17,333.3
25,2018-02-20,172.05,174.26,171.42,171.85,2018-02-20,1446.49,1488.77,1446.49,1468.35,2018-02-20,334.47,340.84,331.5,334.77
26,2018-02-16,172.36,174.82,171.77,172.43,2018-02-16,1457.37,1465.8,1446.56,1448.69,2018-02-16,332.5,343.12,331.64,335.49
27,2018-02-15,169.79,173.09,169.0,172.99,2018-02-15,1466.89,1468.94,1436.84,1461.76,2018-02-15,324.5,334.12,322.4,334.065
28,2018-02-14,163.045,167.54,162.88,167.37,2018-02-14,1406.25,1452.06,1403.36,1451.05,2018-02-14,320.84,326.17,318.52,322.31
29,2018-02-13,161.95,164.75,161.65,164.34,2018-02-13,1385.93,1419.72,1383.53,1414.51,2018-02-13,315.02,324.19,312.5105,323.66
30,2018-02-12,158.5,163.89,157.51,162.71,2018-02-12,1364.67,1393.81,1344.01,1386.23,2018-02-12,316.13,318.08,306.25,315.73
31,2018-02-09,157.07,157.89,150.24,155.97,2018-02-09,1373.49,1383.5,1265.93,1338.99,2018-02-09,319.93,320.9845,294.76,310.11
32,2018-02-08,160.29,161.0,155.03,155.32,2018-02-08,1429.67,1433.75,1349.94,1350.47,2018-02-08,343.31,348.62,314.6,315.36
33,2018-02-07,163.085,163.4,159.0685,159.54,2018-02-07,1449.0,1460.99,1415.15,1416.78,2018-02-07,338.99,346.0,335.66,345.0
34,2018-02-06,154.83,163.72,154.0,163.03,2018-02-06,1361.46,1443.99,1351.79,1442.84,2018-02-06,325.21,336.22,323.5,333.63
35,2018-02-05,159.1,163.88,156.0,157.49,2018-02-05,1402.62,1458.98,1320.72,1396.62,2018-02-05,337.97,344.47,333.0,333.7
36,2018-02-02,166.0,166.8,160.1,160.37,2018-02-02,1477.39,1498.0,1414.0,1431.0,2018-02-02,348.44,351.95,340.51,343.79
37,2018-02-01,167.165,168.62,166.76,167.78,2018-02-01,1445.0,1459.88,1385.14,1390.0,2018-02-01,351.0,359.66,348.63,349.25
38,2018-01-31,166.87,168.4417,166.5,167.43,2018-01-31,1451.3,1472.58,1450.04,1451.65,2018-01-31,347.51,356.19,345.19,354.42
39,2018-01-30,165.525,167.37,164.7,166.97,2018-01-30,1403.17,1439.25,1392.0,1437.82,2018-01-30,345.14,348.27,342.17,345.82
40,2018-01-29,170.16,170.16,167.07,167.96,2018-01-29,1409.18,1431.39,1400.44,1417.68,2018-01-29,339.85,350.85,338.28,349.53
41,2018-01-26,172.0,172.0,170.06,171.51,2018-01-26,1392.01,1402.53,1380.91,1402.05,2018-01-26,341.5,344.0,335.71,342.85
42,2018-01-25,174.505,174.95,170.53,171.11,2018-01-25,1368.0,1378.34,1357.62,1377.95,2018-01-25,348.27,349.2,336.4,337.64
43,2018-01-24,177.25,177.3,173.2,174.22,2018-01-24,1374.82,1388.16,1338.0,1357.51,2018-01-24,354.58,354.75,343.52,345.7404
44,2018-01-23,177.3,179.44,176.82,177.04,2018-01-23,1338.09,1364.9,1337.34,1362.54,2018-01-23,360.0,360.5,351.0,352.79
45,2018-01-22,177.3,177.78,176.6016,177.0,2018-01-22,1297.17,1327.45,1296.66,1327.31,2018-01-22,349.4,357.83,349.2,351.56
46,2018-01-19,178.61,179.58,177.41,178.46,2018-01-19,1312.0,1313.0,1292.99,1294.58,2018-01-19,345.0,350.5899,342.6,350.02
